University,Total students,PG students1,UG students1,International students,UG students2,PG students2,Total faculty staff,Domestic staff,International staff
Massachusetts Institute of Technology (MIT),11145,60%,40%,3732,17%,83%,3009,1313,1696
Stanford University,16135,56%,44%,3665,17%,83%,4366,2251,2115
Harvard University,22727,69%,31%,5495,15%,85%,4542,3159,1383
University of Oxford,20631,44%,56%,8005,28%,72%,6564,3438,3126
California Institute of Technology (Caltech),2239,56%,44%,667,13%,87%,1009,602,407
ETH Zurich - Swiss Federal Institute of Technology,18003,52%,48%,6863,26%,74%,2621,718,1903
University of Cambridge,19203,37%,63%,7049,39%,61%,5601,2852,2749
UCL,32795,46%,54%,16745,47%,53%,6532,3606,2926
Imperial College London,16797,43%,57%,9395,47%,53%,3883,1783,2100
University of Chicago,13924,57%,43%,3676,24%,76%,2509,1860,649
Nanyang Technological University Singapore (NTU),25088,18.30%,81.70%,6719,50.10%,49.90%,4216,1314,2902
National University of Singapore (NUS),30226,18.70%,81.30%,7787,48.20%,51.80%,4766,1684,3082
Princeton University,8017,35%,65%,1793,35%,65%,987,746,241
Cornell University,22144,35%,65%,5446,38%,62%,2730,1752,978
University of Pennsylvania,20852,53%,47%,4450,28%,72%,5703,4271,1432
Tsinghua University,36403,58.80%,41.20%,4638,49%,51%,5716,4321,1395
Yale University,12927,56%,44%,2633,23%,77%,5107,3562,1545
Columbia University,26160,70%,30%,8966,14%,86%,6315,5334,981
EPFL - Ecole Polytechnique Federale de Lausanne,10492,48%,52%,6155,44%,56%,1744,370,1374
The University of Edinburgh,29222,29%,71%,11307,51%,49%,4215,2494,1721
University of Michigan,43874,34%,66%,7755,36%,64%,7255,5140,2115
Peking University,43242,61.50%,38.50%,8051,49.80%,50.20%,5019,3746,1273
The University of Tokyo,27407,48.90%,51.10%,3217,13.90%,86.10%,4522,4242,280
Johns Hopkins University,16657,66%,34%,4346,19%,81%,4593,3461,1132
Duke University,15086,57%,43%,2849,23%,77%,3037,2824,213
The University of Hong Kong,20203,34.50%,65.50%,8285,45.70%,54.30%,3013,926,2087
The University of Manchester,37577,28%,72%,14519,56%,44%,4891,3143,1748
University of California Berkeley (UCB),40056,26%,74%,6741,59%,41%,2773,1402,1371
The Australian National University,16677,41%,59%,7001,39%,61%,1638,705,933
University of Toronto,73064,22%,78%,22936,79%,21%,9394,5702,3692
Northwestern University,18924,55%,45%,3566,22%,78%,4525,3336,1189
The Hong Kong University of Science and Technology,10666,15.50%,84.50%,3051,52.60%,47.40%,1213,320,893
King's College London,25977,36%,64%,11145,54%,46%,3730,2108,1622
Kyoto University,23081,42.50%,57.50%,2206,10.70%,89.30%,3947,3622,325
McGill University,29102,24%,76%,9950,69%,31%,3677,2442,1235
University of California Los Angeles (UCLA),43800,29%,71%,6955,52%,48%,4079,3261,818
Seoul National University,28482,40.80%,59.20%,2295,50.90%,49.10%,4226,3807,419
The University of Melbourne,44365,47%,53%,20200,45%,55%,3374,1968,1406
New York University (NYU),44433,43%,57%,14013,41%,59%,7985,6847,1138
Fudan University,31354,52.30%,47.70%,4769,64.50%,35.50%,4481,2912,1569
KAIST - Korea Advanced Institute of Science & Technology,9812,61.70%,38.30%,620,36%,64%,1323,1173,150
The University of Sydney,44817,38%,62%,23415,50%,50%,3318,1461,1857
The University of New South Wales (UNSW Sydney),40326,28%,72%,14448,49%,51%,2930,1248,1682
The London School of Economics and Political Science (LSE),10357,54%,46%,7288,34%,66%,947,357,590
University of California San Diego (UCSD),33935,19%,81%,7928,67%,33%,3868,2988,880
The Chinese University of Hong Kong (CUHK),17705,14.20%,85.80%,5551,71.80%,28.20%,2300,1149,1151
The University of Queensland,39436,27%,73%,18546,58%,42%,3164,1302,1862
